id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
127,3,1982,2,6,2,6,6,6,4,4,5
128,8,1982,1,1,1,1,1,1,1,N,2
129,8,1980,5,4,2,5,5,N,N,N,N
130,7,1981,3,6,R,N,N,N,N,N,2
131,10,1980,N,N,N,N,N,N,N,N,N
132,2,1983,6,6,4,N,N,5,4,3,2
133,7,1982,N,2,N,1,N,N,N,1,2
134,4,1984,1,2,1,1,1,1,N,N,N
135,4,1981,1,1,1,1,1,1,1,1,1
136,9,1983,4,6,6,N,5,5,5,4,4
137,5,1980,6,2,3,3,4,1,3,3,3
138,4,1984,6,4,6,2,1,1,1,1,2
139,7,1984,1,1,1,N,N,N,N,N,N
140,12,1983,N,N,N,N,N,N,N,N,2
141,1,1980,N,6,N,N,N,N,N,N,N
142,1,1981,2,7,N,N,N,5,N,2,N
143,8,1981,1,1,1,5,N,2,1,N,6
144,8,1982,6,6,6,6,5,2,4,4,2
145,4,1984,6,6,6,5,4,3,2,3,4
146,7,1984,7,6,3,4,4,2,2,2,3
147,2,1984,2,2,2,3,5,1,1,1,1
148,10,1982,1,1,1,2,2,2,1,1,1
149,4,1983,5,6,6,5,5,4,4,5,5
150,2,1984,6,5,3,1,3,2,3,3,4
151,1,1982,1,N,1,5,6,5,3,4,4
152,5,1982,2,2,N,4,N,1,2,2,2
153,2,1980,1,1,1,6,1,R,1,1,6
154,6,1980,N,N,N,N,N,N,N,N,N
155,2,1980,5,5,4,2,1,1,1,1,1
156,11,1982,3,3,3,4,2,1,2,1,2
157,3,1982,1,1,1,1,1,1,1,1,1
158,12,1984,5,5,2,2,2,1,2,1,1
159,1,1980,4,1,1,2,2,1,1,2,3
160,1,1981,2,1,1,1,1,N,1,1,R
161,1,1982,1,1,1,1,1,1,1,1,N
162,8,1981,2,6,6,6,6,6,R,R,R
163,2,1983,1,N,6,1,N,N,6,6,N
164,7,1981,1,2,2,2,2,2,2,2,1
165,4,1980,2,5,3,3,1,3,3,3,5
166,9,1982,3,3,3,2,3,2,3,2,2
167,11,1984,7,2,6,6,6,3,5,1,1
168,1,1981,4,6,8,N,6,3,6,5,6
169,1,1983,6,3,2,1,2,2,2,1,2
170,8,1984,4,3,3,3,2,1,1,2,1
171,7,1984,3,1,5,6,6,7,7,7,7
172,7,1983,N,N,N,N,N,N,N,N,N
173,6,1980,N,4,N,N,N,N,N,N,N
174,4,1983,N,4,N,N,N,N,N,N,N
175,10,1981,4,4,4,6,N,N,2,2,2
176,9,1982,6,6,6,6,6,6,6,6,6
177,11,1980,2,1,2,2,2,2,2,2,2
178,3,1980,N,N,N,N,3,3,4,4,N
179,9,1981,N,N,N,N,N,N,N,N,N
180,9,1983,N,N,N,4,3,4,4,3,N
181,11,1982,6,5,3,3,2,4,2,1,1
182,5,1984,6,6,5,2,3,3,2,3,3
183,12,1980,2,1,1,1,1,1,1,2,1
184,12,1984,3,3,2,1,2,2,1,1,1
185,6,1981,1,1,1,1,1,1,2,2,6
186,7,1983,1,4,2,1,N,N,N,N,N
187,9,1983,1,1,1,1,1,1,1,2,1
188,10,1980,N,N,N,1,1,1,N,N,N
189,8,1984,2,2,2,N,N,N,N,N,N
190,10,1983,1,1,1,N,1,N,N,N,1
191,2,1982,N,3,1,1,1,1,3,1,1
192,3,1982,5,5,1,3,4,7,6,7,7
193,2,1981,6,6,4,5,2,1,5,5,4
194,10,1980,1,N,1,1,1,1,1,1,1
195,1,1983,3,1,5,4,6,6,6,1,1
196,4,1984,1,1,1,N,N,N,N,N,N
197,12,1981,N,N,N,N,N,N,N,N,N
198,7,1980,1,2,2,2,2,N,2,1,1
199,6,1982,1,1,1,1,1,1,1,1,1
200,8,1980,6,6,6,6,6,6,N,6,6
201,12,1983,1,1,1,1,2,1,1,1,1
202,1,1982,6,3,6,6,6,4,4,6,6
203,1,1984,6,6,6,6,6,6,5,3,1
204,5,1981,3,3,3,4,1,1,D,1,1
205,11,1983,2,2,2,2,3,R,2,1,2
206,2,1982,3,3,2,3,2,1,6,1,N
207,11,1981,6,6,6,6,5,N,N,N,N
208,3,1984,6,6,6,6,6,N,N,N,N
209,6,1983,2,1,1,6,2,1,N,N,N
210,5,1984,1,1,1,6,2,N,1,N,N
211,6,1980,2,6,2,7,6,2,4,7,5
212,2,1980,2,2,2,1,4,2,2,2,4
213,4,1982,2,2,2,3,2,3,2,2,2
214,11,1982,2,2,2,2,2,2,3,5,6
215,5,1981,2,2,1,1,1,1,1,1,1
216,6,1980,2,2,1,1,1,1,1,2,1
217,11,1982,7,1,4,3,N,2,2,2,2
218,9,1983,1,2,N,N,N,N,N,N,N
219,3,1982,2,1,1,2,1,2,1,1,1
220,3,1984,1,1,1,1,1,N,N,N,N
221,9,1984,1,3,2,1,1,1,1,1,1
222,1,1981,1,1,1,1,1,1,1,1,2
223,1,1981,1,1,1,1,2,2,1,1,2
224,10,1982,1,1,1,1,1,1,1,2,1
225,10,1980,4,3,1,3,2,1,1,1,2
226,3,1981,5,6,1,6,6,4,D,1,N
227,1,1980,1,2,D,2,1,N,1,1,D
228,1,1984,4,4,4,3,3,3,2,3,3
229,2,1984,6,6,6,6,6,5,6,4,4
230,5,1984,4,4,2,2,2,2,1,2,1
231,11,1980,1,5,2,3,1,1,3,1,1
