id,bmonth,byear,att00,att01,att02,att03,att04,att05,att06,att07,att08
235,8,1981,6,5,3,6,6,4,5,6,4
238,8,1981,1,1,1,1,1,1,1,1,1
240,4,1983,1,2,2,2,1,2,1,1,2
241,2,1983,2,1,1,1,1,1,1,1,1
242,6,1984,1,2,1,1,1,1,1,1,1
243,2,1983,2,2,4,2,2,1,2,2,3
244,3,1983,6,4,2,2,2,2,2,2,2
245,7,1984,6,2,6,6,2,6,6,7,6
247,3,1982,1,5,2,1,1,1,2,2,1
248,9,1983,2,1,1,1,3,2,2,3,2
251,4,1982,4,1,2,1,1,1,1,1,1
252,7,1984,2,1,1,1,1,1,1,1,1
254,8,1981,1,1,1,1,1,1,1,1,1
256,8,1980,1,2,1,1,1,1,1,1,1
257,5,1984,1,1,1,1,1,1,1,1,1
258,11,1982,3,6,2,2,4,3,3,2,5
260,12,1980,6,2,2,2,3,2,2,2,2
261,4,1983,3,2,2,2,2,2,1,2,1
264,7,1982,1,1,1,1,1,1,1,1,1
265,9,1983,2,4,4,5,4,4,2,2,3
266,12,1980,1,1,1,1,1,1,2,1,1
267,12,1980,1,1,1,1,1,1,1,1,1
268,12,1981,2,1,2,1,2,5,1,1,1
271,8,1982,1,4,1,1,1,4,1,1,1
272,9,1982,2,2,4,7,7,6,5,3,7
278,9,1980,1,4,1,1,1,4,1,3,3
281,12,1984,4,4,4,3,3,2,2,2,2
283,5,1984,6,5,5,5,3,3,3,3,2
284,3,1981,1,4,3,2,1,3,1,1,1
286,9,1984,6,6,4,4,2,3,2,5,6
287,5,1980,2,2,2,2,2,1,1,2,1
288,10,1983,2,3,1,1,1,2,1,1,1
290,1,1984,2,3,2,1,1,2,1,1,2
291,6,1980,3,1,1,1,1,1,1,1,2
292,9,1984,4,4,3,2,2,5,4,2,6
293,11,1983,7,7,6,6,3,4,3,2,6
294,5,1982,7,7,6,7,7,7,7,7,7
295,9,1984,2,5,2,4,4,3,3,3,2
296,12,1981,1,2,2,1,1,1,3,1,2
298,6,1983,2,3,4,3,1,1,1,1,2
300,5,1984,6,6,5,4,3,3,2,2,5
307,5,1980,3,4,3,2,3,2,2,2,2
311,3,1982,6,6,3,3,3,3,3,2,2
312,7,1982,4,4,3,3,2,2,2,3,2
313,4,1981,2,2,3,2,2,3,5,3,3
314,10,1984,2,2,1,1,2,2,1,2,2
315,1,1982,1,2,1,1,1,1,2,1,2
321,10,1981,2,2,1,1,2,1,2,2,2
322,6,1982,5,2,2,1,1,2,1,2,1
323,3,1980,1,2,1,1,1,1,1,1,2
325,9,1984,4,3,1,3,2,1,2,2,2
326,3,1980,6,3,3,4,5,4,4,4,4
327,1,1983,4,5,3,2,3,2,3,3,2
332,1,1980,2,2,2,2,2,1,1,1,1
333,8,1982,2,2,1,2,2,6,3,2,2
334,1,1984,3,3,3,2,2,5,2,2,2
336,2,1982,2,2,1,2,2,1,2,3,2
337,7,1983,6,4,3,3,3,2,2,2,2
339,9,1981,6,6,5,6,6,6,6,6,4
340,12,1981,2,2,1,1,1,1,1,1,1
341,12,1983,1,1,1,1,1,1,1,1,1
342,3,1982,7,7,7,5,3,4,4,2,2
345,3,1984,8,1,2,1,1,5,2,2,6
347,9,1981,1,1,1,2,1,2,1,2,2
348,8,1983,1,2,2,6,6,4,5,5,6
355,12,1980,6,3,6,6,5,2,2,3,2
356,10,1982,1,4,6,8,3,8,1,3,1
357,9,1981,6,6,6,7,6,6,6,6,6
358,2,1983,6,6,6,6,3,5,5,5,4
359,1,1983,6,6,7,7,7,7,7,7,7
362,4,1981,5,4,3,6,6,5,5,6,5
363,11,1983,6,6,6,6,2,6,6,4,2
365,2,1982,5,2,1,1,3,6,1,1,1
366,8,1980,5,2,5,2,5,5,4,4,4
367,6,1981,4,1,1,3,2,3,2,1,1
368,4,1981,2,1,2,2,1,1,2,1,2
372,6,1983,1,1,1,1,1,1,1,1,1
373,8,1984,2,1,1,1,1,3,1,4,1
374,9,1981,6,1,2,1,1,1,2,1,1
376,3,1981,3,5,3,3,2,1,3,2,2
378,2,1984,6,6,5,3,2,2,3,3,3
386,6,1980,3,2,2,2,1,2,1,2,2
387,1,1983,2,3,2,2,2,1,2,2,2
390,3,1983,6,6,4,6,4,6,6,6,6
392,1,1980,1,2,1,1,4,4,4,5,6
393,9,1983,2,3,2,2,2,2,1,1,1
394,10,1984,3,3,2,1,2,1,1,2,1
395,8,1984,7,6,6,4,6,2,2,2,2
396,9,1983,2,3,4,2,2,1,2,1,1
398,8,1980,2,2,2,2,2,1,2,2,2
402,7,1984,6,7,6,3,2,2,3,2,1
403,2,1984,4,6,1,6,4,6,3,2,2
404,3,1980,6,6,6,6,6,6,6,6,6
408,5,1980,5,7,5,6,6,6,7,7,7
410,10,1980,3,2,3,5,5,6,6,6,1
411,2,1980,6,6,2,2,2,5,7,3,6
412,2,1982,6,6,6,6,5,3,2,2,3
415,12,1981,1,1,1,1,1,1,1,1,1
416,7,1980,1,2,1,1,1,1,1,1,1
417,5,1983,2,2,2,2,2,1,1,1,1
419,2,1984,2,2,1,2,1,2,1,1,1
420,3,1980,1,1,1,1,1,1,1,1,1
